x.bmi5cat,income2,x.state,Freq
2,8,10,67728
3,8,10,81187
4,8,10,72828
1,77,10,1590
2,77,10,21772
3,77,10,13367
4,77,10,15678
1,99,10,354
2,99,10,18548
3,99,10,18659
4,99,10,16123
1,1,11,996
2,1,11,9514
3,1,11,9157
4,1,11,12842
1,2,11,60
2,2,11,6503
3,2,11,4513
4,2,11,8411
1,3,11,766
2,3,11,8654
3,3,11,6709
4,3,11,9648
1,4,11,377
2,4,11,9075
3,4,11,11464
4,4,11,11250
1,5,11,464
2,5,11,10354
3,5,11,9903
4,5,11,9862
1,6,11,1276
2,6,11,11067
3,6,11,12825
4,6,11,13517
1,7,11,1610
2,7,11,24149
3,7,11,15453
4,7,11,15284
1,8,11,4158
2,8,11,113559
3,8,11,74081
4,8,11,35534
1,77,11,2169
2,77,11,20993
3,77,11,11732
4,77,11,8944
1,99,11,880
2,99,11,7659
3,99,11,9212
4,99,11,5610
1,1,12,33871
2,1,12,246102
3,1,12,175671
4,1,12,179762
1,2,12,14779
2,2,12,217614
3,2,12,171778
4,2,12,200378
1,3,12,25259
2,3,12,264602
3,3,12,339190
4,3,12,377844
1,4,12,36713
2,4,12,414115
3,4,12,524545
4,4,12,527654
1,5,12,27289
2,5,12,409635
3,5,12,550338
4,5,12,462061
1,6,12,31484
2,6,12,567506
3,6,12,612072
4,6,12,570082
1,7,12,23515
2,7,12,579075
3,7,12,645754
4,7,12,647922
1,8,12,36016
2,8,12,1245151
3,8,12,1495173
4,8,12,1052575
1,77,12,40742
2,77,12,517158
3,77,12,406899
4,77,12,409965
1,99,12,10818
2,99,12,412631
3,99,12,408652
4,99,12,210179
1,1,13,3962
2,1,13,77437
3,1,13,93587
4,1,13,141651
1,2,13,0
2,2,13,66089
3,2,13,92487
4,2,13,111490
1,3,13,13051
2,3,13,135140
3,3,13,162167
4,3,13,158685
1,4,13,18561
2,4,13,177715
3,4,13,193010
4,4,13,227472
1,5,13,16697
2,5,13,201287
3,5,13,218717
4,5,13,207215
1,6,13,12691
2,6,13,232511
3,6,13,307316
4,6,13,276137
1,7,13,10409
2,7,13,248180
3,7,13,315521
4,7,13,304996
1,8,13,28233
2,8,13,673271
3,8,13,754202
4,8,13,586246
1,77,13,23711
2,77,13,212497
3,77,13,177791
4,77,13,166957
1,99,13,13802
2,99,13,165609
3,99,13,157011
4,99,13,127151
1,1,15,1215
2,1,15,12806
3,1,15,9648
4,1,15,8761
1,2,15,2824
2,2,15,10622
3,2,15,8775
4,2,15,10310
1,3,15,1545
2,3,15,23332
3,3,15,15396
4,3,15,18391
1,4,15,1728
2,4,15,27090
3,4,15,28189
4,4,15,20838
1,5,15,2014
2,5,15,31410
3,5,15,27782
4,5,15,23641
1,6,15,2814
2,6,15,39478
3,6,15,41204
4,6,15,23327
1,7,15,2980
2,7,15,52173
3,7,15,50110
4,7,15,37090
1,8,15,7123
2,8,15,144232
3,8,15,140835
4,8,15,88352
1,77,15,3864
2,77,15,32726
3,77,15,22442
4,77,15,20856
1,99,15,1172
2,99,15,23504
3,99,15,18095
4,99,15,9720
1,1,16,2272
2,1,16,16573
3,1,16,8559
4,1,16,10046
1,2,16,273
2,2,16,13772
3,2,16,17563
4,2,16,13257
1,3,16,2349
2,3,16,23373
3,3,16,18664
4,3,16,25415
1,4,16,2329
2,4,16,29984
3,4,16,34141
4,4,16,28967
1,5,16,793
2,5,16,49180
3,5,16,46370
4,5,16,39968
1,6,16,1513
2,6,16,45904
3,6,16,66904
4,6,16,47807
1,7,16,1302
2,7,16,57650
3,7,16,82651
4,7,16,57483
1,8,16,5111
2,8,16,118338
3,8,16,117386
4,8,16,86835
1,77,16,5134
2,77,16,33195
3,77,16,15720
4,77,16,16907
1,99,16,2208
2,99,16,18721
3,99,16,18950
4,99,16,12586
1,1,17,7532
2,1,17,142369
3,1,17,144327
4,1,17,130710
1,2,17,8834
2,2,17,93586
3,2,17,97194
4,2,17,140492
1,3,17,15147
2,3,17,179794
3,3,17,182745
4,3,17,205512
1,4,17,21674
2,4,17,180743
3,4,17,196271
4,4,17,302334
1,5,17,22872
2,5,17,230127
3,5,17,286870
4,5,17,245096
1,6,17,23580
2,6,17,322889
